id,species,dbh,h
677,Pinus sylvestris,35.4,29.2
678,Pinus sylvestris,35.4,29.2
679,Pinus sylvestris,35.4,29.2
680,Pinus sylvestris,35.5,28.0
681,Pinus sylvestris,35.6,29.2
682,Pinus sylvestris,35.6,29.2
683,Pinus sylvestris,35.7,29.2
684,Pinus sylvestris,35.8,29.2
685,Pinus sylvestris,35.8,29.2
686,Pinus sylvestris,35.8,29.2
687,Pinus sylvestris,36.0,29.2
688,Pinus sylvestris,36.2,29.2
689,Pinus sylvestris,36.2,29.2
690,Pinus sylvestris,36.2,29.2
691,Pinus sylvestris,36.3,29.2
692,Pinus sylvestris,36.3,29.2
693,Pinus sylvestris,36.4,29.3
694,Pinus sylvestris,36.4,29.3
695,Pinus sylvestris,36.4,29.3
696,Pinus sylvestris,36.5,29.3
697,Pinus sylvestris,36.5,29.3
698,Pinus sylvestris,36.6,29.3
699,Pinus sylvestris,36.6,29.3
700,Pinus sylvestris,36.7,29.3
701,Pinus sylvestris,36.7,29.3
702,Pinus sylvestris,36.8,29.3
703,Pinus sylvestris,36.8,29.3
